Movie_Name,R rated
레드슈즈,전체 관람가
인크레더블 2,전체 관람가
러빙 빈센트,15세 관람가
보루토 - 나루토 더 무비,12세 관람가
살인의 추억,15세 관람가
레옹,청소년 관람불가
범죄도시2,15세 관람가
프리퀀시,12세 관람가
그랜 토리노,12세 관람가
대부 2,청소년 관람불가
그린 마일,청소년 관람불가
칼리토,청소년 관람불가
캐치 미 이프 유 캔,15세 관람가
타짜,청소년 관람불가
대부 3,청소년 관람불가
공공의 적,청소년 관람불가
아메리칸 히스토리 X,청소년 관람불가
태양은 가득히,12세 관람가
어 퓨 굿 맨,15세 관람가
JFK,15세 관람가
대부,청소년 관람불가
히트,청소년 관람불가
무간도,12세 관람가
추격자,청소년 관람불가
세븐 데이즈,청소년 관람불가
내부자들: 디 오리지널,청소년 관람불가
도니 브래스코,15세 관람가
호텔 뭄바이,15세 관람가
양들의 침묵,청소년 관람불가
끝까지 간다,15세 관람가
내부자들,청소년 관람불가
종횡사해,15세 관람가
인비저블 게스트,15세 관람가
무간도 3 - 종극무간,15세 관람가
신세계,청소년 관람불가
스카페이스,청소년 관람불가
프라이멀 피어,청소년 관람불가
프라미싱 영 우먼,15세 관람가
트레인스포팅,청소년 관람불가
LA 컨피덴셜,청소년 관람불가
시티 오브 갓,청소년 관람불가
슬럼독 밀리어네어,15세 관람가
메멘토,15세 관람가
바람의 소리,15세 관람가
비열한 거리,청소년 관람불가
범죄의 재구성,청소년 관람불가
펄프 픽션,청소년 관람불가
리플리,청소년 관람불가
아이리시맨,청소년 관람불가
부당거래,청소년 관람불가
보이 A,청소년 관람불가
몬스터,청소년 관람불가
용의자 X의 헌신,12세 관람가
유주얼 서스펙트,청소년 관람불가
하이 스쿨 뮤지컬: 졸업반,전체 관람가
사랑은 비를 타고,전체 관람가
물랑 루즈,15세 관람가
씽,전체 관람가
시카고,15세 관람가
맘마미아!2,12세 관람가
헤어스프레이,12세 관람가
딥,전체 관람가
삼거리 극장,15세 관람가
어크로스 더 유니버스,15세 관람가
인 더 하이츠,12세 관람가
락 오브 에이지,15세 관람가
디어 에반 핸슨,12세 관람가
페임,12세 관람가
나인,15세 관람가
퍼햅스 러브,12세 관람가
구미호 가족,15세 관람가
캣츠,12세 관람가
아바타 리마스터링,12세 관람가
터미네이터 2:오리지널,15세 관람가
빽 투 더 퓨쳐,12세 관람가
매트릭스,12세 관람가
에이리언 2,15세 관람가
에이 아이,12세 관람가
쥬라기 공원,12세 관람가
바이센테니얼 맨,전체 관람가
가타카,15세 관람가
터미네이터,청소년 관람불가
로보캅,15세 관람가
마이너리티 리포트,15세 관람가
이티,전체 관람가
빽 투 더 퓨쳐 2,12세 관람가
콘택트,12세 관람가
혹성탈출,15세 관람가
빽 투 더 퓨쳐 3,전체 관람가
인터스텔라,12세 관람가
스타워즈 에피소드 3 - 시스의 복수,전체 관람가
보물성,전체 관람가
스타워즈 에피소드 5 - 제국의 역습,<class 'str'>
아바타,12세 관람가
아마겟돈,15세 관람가
엑스맨: 퍼스트 클래스,12세 관람가
