,Movie Name,Review Star Avg
313,양들의 침묵,평균 ★4.1 (32만명)
314,끝까지 간다,평균 ★3.8 (79만명)
315,내부자들,평균 ★4.0 (94만명)
316,종횡사해,평균 ★3.6 (2만명)
317,인비저블 게스트,평균 ★3.8 (4만명)
318,무간도 3 - 종극무간,평균 ★3.8 (6만명)
319,신세계,평균 ★4.2 (143만명)
320,스카페이스,평균 ★4.0 (4만명)
321,프라이멀 피어,평균 ★4.0 (10만명)
322,프라미싱 영 우먼,평균 ★3.5 (1만명)
323,트레인스포팅,평균 ★3.9 (7만명)
324,LA 컨피덴셜,평균 ★3.7 (5만명)
325,시티 오브 갓,평균 ★4.0 (7만명)
326,슬럼독 밀리어네어,평균 ★3.9 (42만명)
327,메멘토,평균 ★4.1 (61만명)
328,바람의 소리,평균 ★3.8 (357명)
329,비열한 거리,평균 ★3.6 (42만명)
330,범죄의 재구성,평균 ★3.8 (30만명)
331,펄프 픽션,평균 ★4.0 (15만명)
332,리플리,평균 ★3.8 (8만명)
333,아이리시맨,평균 ★4.0 (3만명)
334,부당거래,평균 ★3.9 (57만명)
335,보이 A,평균 ★3.7 (1만명)
336,몬스터,평균 ★3.8 (49만명)
337,용의자 X의 헌신,평균 ★3.5 (20만명)
338,유주얼 서스펙트,평균 ★4.1 (31만명)
339,올빼미,평균 ★3.0 (31명)
340,저수지 게임,평균 ★4.0 (13만명)
341,미져리,평균 ★3.7 (10만명)
342,하녀,평균 ★3.2 (5만명)
343,김복남 살인사건의 전말,평균 ★3.3 (32만명)
344,모리타니안,"평균 ★3.7 (4,615명)"
345,조커,평균 ★3.9 (18만명)
346,범죄의 여왕,평균 ★3.4 (5만명)
347,배드 지니어스,평균 ★3.7 (6만명)
348,프레스티지,평균 ★3.8 (20만명)
349,올가미,평균 ★3.0 (4만명)
350,레드 스패로,평균 ★3.1 (2만명)
351,몽타주,평균 ★3.3 (15만명)
352,분노,평균 ★2.2 (237명)
353,더 스파이,"평균 ★3.4 (6,880명)"
354,닥터 슬립,"평균 ★3.2 (7,134명)"
355,리턴,평균 ★3.0 (144명)
356,해피 엔드,평균 ★3.4 (6만명)
357,폴: 600미터,"평균 ★3.1 (2,937명)"
358,나를 찾아줘,평균 ★3.9 (34만명)
359,더 테러 라이브,평균 ★3.5 (104만명)
360,더 재킷,평균 ★3.4 (3만명)
361,제로 다크 서티,평균 ★3.8 (12만명)
362,노인을 위한 나라는 없다,평균 ★4.0 (32만명)
363,팅커 테일러 솔저 스파이,평균 ★3.6 (9만명)
364,랜섬,평균 ★3.4 (2만명)
365,작전명 발키리,평균 ★3.4 (15만명)
366,무언의 목격자,"평균 ★3.6 (8,928명)"
367,롱 키스 굿나잇,평균 ★3.3 (3만명)
368,콰이어트 플레이스 2,평균 ★3.5 (3만명)
369,트위스터,평균 ★3.4 (3만명)
370,블라인드 멜로디,"평균 ★3.2 (6,951명)"
371,아나콘다,평균 ★1.3 (49명)
372,퍼펙트 스톰,평균 ★3.3 (2만명)
373,프리즈너스,평균 ★3.6 (9만명)
374,딥 라이징,"평균 ★3.1 (7,130명)"
375,아웃브레이크,평균 ★2.4 (84명)
376,밀레니엄 : 여자를 증오한 남자들,평균 ★3.6 (9만명)
377,블라인드,평균 ★4.0 (29만명)
378,썸 오브 올 피어스,"평균 ★3.3 (7,615명)"
379,인썸니아,평균 ★3.4 (3만명)
380,히든 페이스,평균 ★3.4 (2만명)
381,프리즈 프레임,평균 ★3.1 (5명)
382,서유기 2 - 선리기연,평균 ★4.1 (10만명)
383,트루먼 쇼,평균 ★4.3 (87만명)
384,세 얼간이,평균 ★4.1 (143만명)
385,미세스 다웃파이어,평균 ★3.7 (16만명)
386,언터처블: 1%의 우정,평균 ★4.1 (58만명)
387,모던 타임즈,평균 ★4.0 (12만명)
388,라따뚜이,평균 ★4.0 (88만명)
389,엽기적인 그녀,"평균 ★1.5 (4,708명)"
390,로마의 휴일,평균 ★4.0 (14만명)
391,패밀리 맨,평균 ★3.8 (6만명)
392,시스터 액트,평균 ★3.5 (13명)
393,위대한 독재자,평균 ★4.0 (2만명)
394,빅,평균 ★3.9 (23만명)
395,서유기 - 월광보합,"평균 ★2.8 (2,274명)"
396,스팅,평균 ★4.0 (2만명)
397,스쿨 오브 락,평균 ★3.8 (51만명)
398,라디오 스타,평균 ★3.5 (48만명)
399,과속스캔들,평균 ★3.7 (86만명)
400,마틸다,평균 ★3.8 (23만명)
401,마스크,평균 ★3.7 (38만명)
402,조조 래빗,평균 ★4.0 (4만명)
403,패딩턴 2,평균 ★3.9 (6만명)
404,쉘 위 댄스,평균 ★3.6 (7만명)
405,혐오스런 마츠코의 일생,평균 ★3.8 (26만명)
406,즐거운 인생,평균 ★3.1 (8만명)
407,취권,평균 ★2.9 (764명)
408,클릭,평균 ★3.4 (35만명)
409,아는 여자,평균 ★3.6 (27만명)
410,써니,"평균 ★3.0 (1,558명)"
411,우드잡,평균 ★3.8 (2만명)
412,시스터 액트 2,평균 ★3.5 (13명)
413,패치 아담스,평균 ★3.8 (6만명)
414,피케이: 별에서 온 얼간이,평균 ★3.7 (1만명)
415,내 깡패 같은 애인,평균 ★3.3 (23만명)
416,바그다드 카페 : 디렉터스컷,평균 ★3.9 (9만명)
417,경찰서를 털어라,평균 ★3.7 (14만명)
418,브루스 올마이티,평균 ★3.8 (56만명)
419,"알로, 슈티","평균 ★3.8 (9,155명)"
420,결혼 이야기,평균 ★4.0 (6만명)
421,영구와 땡칠이,"평균 ★2.9 (5,373명)"
422,선생 김봉두,평균 ★3.2 (28만명)
423,인턴,평균 ★3.9 (41만명)
424,수상한 그녀,평균 ★3.8 (131만명)
425,터미널,평균 ★4.0 (33만명)
426,울학교 이티,평균 ★3.9 (29만명)
427,록 스탁 앤 투 스모킹 배럴즈,평균 ★3.9 (5만명)
428,불가사리,평균 ★1.7 (175명)
429,그것만이 내 세상,평균 ★3.8 (37만명)
430,미스 리틀 선샤인,평균 ★3.9 (12만명)
431,스윙걸즈,평균 ★3.5 (14만명)
432,반지의 제왕: 왕의 귀환,평균 ★4.2 (60만명)
433,해리 포터와 마법사의 돌,평균 ★4.3 (105만명)
434,반지의 제왕: 두 개의 탑,평균 ★4.2 (59만명)
435,반지의 제왕: 반지 원정대,평균 ★4.2 (60만명)
436,천녀유혼,평균 ★3.5 (1만명)
437,가위손,평균 ★3.9 (39만명)
438,조 블랙의 사랑,평균 ★3.5 (4만명)
439,캐리비안의 해적 - 블랙 펄의 저주,평균 ★3.9 (74만명)
440,온워드: 단 하루의 기적,평균 ★3.5 (2만명)
441,천녀유혼 3,평균 ★3.5 (1만명)
442,벤자민 버튼의 시간은 거꾸로 간다,평균 ★3.9 (68만명)
443,천녀유혼 2,평균 ★3.5 (1만명)
